"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"128","INDUSTRY    ",4,"Damped Holt-Winters' multiplicative method","Box-Cox",0.408777046780742,18.7101610440827,0.0628670432623095,0.368922670304013,-618.680779070482,-608.680779070482,-603.715703455817,0,0
"129","INDUSTRY    ",4,"ETS(A,Ad,A)","Seasonal Difference",0.493053996616171,41.3468881385786,0.0658206497923062,0.934131853420782,498.895424020364,511.117646242586,512.568382320228,0,0
"130","INDUSTRY    ",4,"ETS(A,Ad,A)","Box-Cox",0.47529542505074,0.489181783042638,0.334986896112977,0.836133935442694,-603.12765650533,-593.12765650533,-588.162580890665,0,0
"131","INDUSTRY    ",4,"ETS(A,Ad,N)","Seasonal Difference",0.350786653362938,5.75932781020896,0.356861950534481,0.0577475461275048,776.192186376509,778.402712692299,787.032161315131,0,0
"132","INDUSTRY    ",4,"ETS(M,Md,M)","Original",0.350579669140237,0.718845512478208,0.238556573480863,0.67177250619922,779.928946868968,785.718420553179,798.847149850075,0,0
"133","INDUSTRY    ",4,"ETS(M,Md,M)","Original",0.332651261758639,0.765445078576169,0.532608749221418,0.61183280897905,770.640770821748,776.430244505959,789.558973802854,0,0
"134","INDUSTRY    ",4,"ETS(M,Md,N)","Box-Cox",0.365807434957067,0.489453832540188,0.0507246406968362,0.978606180571004,-2.0625979747787,-0.0625979747786971,9.28832381388506,0,0
"135","INDUSTRY    ",4,"ETS(A,Ad,A)","Seasonal Difference",0.424039015291762,1.80210980211018,0.509344216893836,0.983671371106321,788.92431446316,794.565340104185,808.044544517441,0,0
"136","INDUSTRY    ",4,"ETS(A,A,A)","Original",0.599049961385093,0.102443172352693,0.066817375413009,0.530079699655051,596.397338956327,602.825910384899,611.135614393865,0,0
"137","INDUSTRY    ",4,"ETS(A,Ad,A)","Seasonal Difference",0.285865913118633,0.0750053309447792,0.227967313930531,0.58684128879122,531.446405962902,541.011623354206,546.710011209063,0,0
"138","INDUSTRY    ",4,"ETS(M,Ad,N)","Seasonal Difference",0.553169691984222,46.415766848157,0.166655905008734,0.0873803488988918,710.509154111287,712.979742346581,720.790586511513,0,0
"139","INDUSTRY    ",4,"ETS(M,Ad,M)","Box-Cox",0.329985493027543,0.637240250313697,0.633943493642196,0.969248127493232,40.1575048838795,47.2542790774278,57.5342010667131,0,0
"140","INDUSTRY    ",4,"ETS(M,N,A)","Original",0.358149056063766,0.868610253051847,0.714444427186864,0.0765881640727533,662.689546907891,665.98366455495,674.853234235875,0,0
"141","INDUSTRY    ",4,"Damped Holt-Winters' multiplicative method with exponential trend","Original",0.460829137433966,0.284700759625476,0.992400464169999,0.730008949692412,627.402883754004,634.499657947552,644.779579936838,0,0
